,PPRL_z,MPRL_z,load_range_z,mean_load_z,std_load_z,PPRL_raw_lbf,MPRL_raw_lbf,load_range_raw_lbf,mean_load_raw_lbf,std_load_raw_lbf,card_work_raw_lbf_in,card_area_shape_norm,mean_up_z,std_up_z,min_up_z,max_up_z,mean_down_z,std_down_z,min_down_z,max_down_z,mean_slope_up_z,max_abs_slope_up_z,mean_slope_down_z,max_abs_slope_down_z,position_of_peak_load,position_of_min_load,up_down_load_ratio_raw,SPM,temperature,viscosity,fluid_level,pump_depth,production_rate,stroke_length
PPRL_z,1.0,-0.04929621883549611,0.8276896553570177,0.4146755589516228,0.16674354665514524,0.46879163618766967,0.06888929443252491,0.5431338896318398,0.10248634070277797,-0.026173790242372562,-0.1528212762735939,-0.6816568142506365,0.2707402260769488,0.784007872855382,-0.07832771899733706,0.8408632350301789,0.4399010476177037,0.3160575854175254,-0.04929621883549611,0.8964313056065054,-0.3690218306006442,-0.09293903432490105,-0.3531765642206245,0.5599617309216142,0.31491345938043286,0.3230778010811644,-0.33547332956482684,0.7150977579957878,-0.3059113696995302,0.5411890597250213,0.15534760353076332,0.05869268627649597,-0.0485792528359819,0.2139299926349906
MPRL_z,-0.04929621883549611,1.0,-0.6013057776894755,0.8333379194699657,-0.8240430648936626,0.0405130172411658,0.5904581590312096,-0.41242812888320346,0.23035014329945502,-0.24712584096265827,-0.042106773542510356,0.538059799030728,0.6779250703550113,-0.3763564466922616,0.46664291762563254,0.22465520231830424,0.7852586848555787,-0.9213503452967835,1.0,-0.2963949393998817,0.369630280329931,-0.2654850910363247,0.8920886348994969,-0.7736439890953227,0.014058524972138619,0.4723680848412516,-0.13980817590506373,-0.18162393243389044,-0.0021017439179387503,-0.03359556454132525,0.45480336101665264,-0.02072340534250334,0.034017306179740324,-0.11388165242718594
load_range_z,0.8276896553570177,-0.6013057776894755,1.0,-0.1364899476194504,0.5963978715607954,0.3522663668115809,-0.276649403737741,0.6662332335138212,-0.0474384397700867,0.11791358929915792,-0.09859724172065305,-0.847638981362993,-0.16431531324163717,0.838662835620717,-0.3248538093790321,0.5464567056962559,-0.08929552605802404,0.7705218177359048,-0.6013057776894755,0.88367273120256,-0.5028982504462797,0.07481745045444294,-0.7837754357412248,0.8826514376051664,0.2440290785152693,-0.006949549270990762,-0.18982194482620066,0.6741211156892113,-0.24354562932904478,0.4518230301952715,-0.13126322540714383,0.058597501119398834,-0.057976272673469074,0.23512879768410383
mean_load_z,0.4146755589516228,0.8333379194699657,-0.1364899476194504,1.0,-0.5856650152700267,0.2415841399710679,0.5469143516269224,-0.12202765458544823,0.25921601704966085,-0.23239432649448707,-0.1096670120719576,0.1320563617279976,0.8451860782575314,0.053904580046579186,0.37541162732877925,0.6917677228454252,0.9189256167397452,-0.6432542980262964,0.8333379194699657,0.158573004162434,0.11886051879998692,-0.24710482467740646,0.5939703067983082,-0.40610841103278406,0.12480747819753256,0.6380245619748642,-0.2933640061111156,0.2198496574085443,-0.17072626002750393,0.2701882528733909,0.5019998376318884,-3.2477284358180616e-16,-0.0009059154712423024,-5.953784636419594e-16
std_load_z,0.16674354665514524,-0.8240430648936626,0.5963978715607954,-0.5856650152700267,1.0,0.09296647645919638,-0.5385762611191698,0.5417163469696165,-0.14718508813200742,0.48985176561362437,0.270748518496722,-0.28011104661420716,-0.21138842688885998,0.2728743728329847,-0.28902413881315847,0.029308410516798073,-0.7474798263496973,0.7157462270690911,-0.8240430648936624,0.26538759353161145,-0.28600537445701685,0.22592731578040826,-0.6582893132207686,0.6773705966519885,0.05226966483751901,-0.3787828987751407,0.4058060612812594,0.16585564062445393,-0.06856745341562356,0.0901325853665429,-0.1574505200953575,-0.042006146491518445,0.0040897804395795675,0.00542369639131754
PPRL_raw_lbf,0.46879163618766967,0.0405130172411658,0.3522663668115809,0.2415841399710679,0.09296647645919638,1.0,0.619647971502278,0.7870871356242256,0.8872172828847541,0.6408910252210839,0.5736173283214122,-0.22829603708231747,0.19073868350351245,0.3051621441312062,-0.11012088517099437,0.38471813916827446,0.23191992648465276,0.091092983734336,0.04051301724116576,0.40323906394570097,-0.23865679148056881,0.08304489401734506,-0.08551398457205563,0.24991331054407884,0.27669988325370687,0.14820608532100737,-0.0006871904492928737,0.13402631060812453,-0.3544591586094423,0.2971938589950793,0.31191811479256415,0.6959041866291714,0.09083673876465867,0.38612430119276897
MPRL_raw_lbf,0.06888929443252491,0.5904581590312096,-0.276649403737741,0.5469143516269224,-0.5385762611191698,0.619647971502278,1.0,0.003570220543177534,0.8454703625095473,0.05959010575905271,0.19650048556802202,0.17218881631323732,0.3235011509230062,-0.06353969215085184,0.13129359571244867,0.19252095142407175,0.6049636341166815,-0.43744936866094086,0.5904581590312095,-0.0659765650599333,0.05863698666626198,-0.060541511514360484,0.3927444059753589,-0.38873586420894163,0.105135508297721,0.32049661244407895,-0.4028831059047105,-0.23099281924285017,-0.15764774625640168,0.056800757967240746,0.33415783620255485,0.6848862691778732,0.049658131885291903,0.24986736287545214
load_range_raw_lbf,0.5431338896318398,-0.41242812888320346,0.6662332335138212,-0.12202765458544823,0.5417163469696165,0.7870871356242256,0.003570220543177534,1.0,0.46591862521908445,0.7697092297176519,0.5763989853759869,-0.4261898721748129,-0.01122665255403137,0.43873484028459414,-0.24348639222723353,0.3388553151628142,-0.17996184281338895,0.4598531454218861,-0.41242812888320346,0.5656070728648386,-0.3501491517812057,0.15338513298837017,-0.41761119695075194,0.6239174747098338,0.2699090038922702,-0.06305496957772214,0.3157527397230388,0.3522978536538218,-0.32771025137569754,0.3340063818218133,0.13478954163293505,0.34837593338694434,0.07670593961001475,0.29557797549113424
mean_load_raw_lbf,0.10248634070277797,0.23035014329945502,-0.0474384397700867,0.25921601704966085,-0.14718508813200742,0.8872172828847541,0.8454703625095473,0.46591862521908445,1.0,0.5365127710056344,0.5672198675806633,0.055831935638305116,0.18336435684917116,0.008385378417069253,-0.02970103670344864,0.13807625702319307,0.26456199967877303,-0.14631909021739584,0.23035014329945502,0.041580260444906085,-0.0756246861262168,0.08001838319171456,0.1422705625141645,-0.08513430005548342,0.15548225112342975,0.1403091763087183,-0.07326421469411841,-0.18556654759364902,-0.2558553777756829,0.10866464174458623,0.31350584842617785,0.8177807385592668,0.09752089253903423,0.3443466513012114
std_load_raw_lbf,-0.026173790242372562,-0.24712584096265827,0.11791358929915792,-0.23239432649448707,0.48985176561362437,0.6408910252210839,0.05959010575905271,0.7697092297176519,0.5365127710056344,1.0,0.8774578094224443,0.18288203603233094,0.07708598100604867,-0.16025041265154683,-0.03140281736725141,-0.07516177673944874,-0.41539298767904104,0.09798922545401173,-0.24712584096265822,-0.038195974333089126,-0.0003419526467073984,0.12597292434308238,-0.013870517001004355,0.18482779113971767,0.13657341776827753,-0.2024349925903196,0.7179677996171029,-0.1555150654422436,-0.18448622259395245,0.015660771980812477,0.26846092748191547,0.36240885276189405,0.15896151677663173,0.09955579885911911
