feature,F_statistic,p_value
mean_load_z,953.221058713077,1.034260189028354e-180
MPRL_z,509.89983692547247,1.4028771781565337e-135
min_down_z,509.89983692547247,1.4028771781565337e-135
mean_down_z,390.7001714709006,6.286191800326731e-118
max_abs_slope_down_z,366.00034672471753,9.06350922537035e-114
max_up_z,356.07358225606333,4.8650653265614945e-112
viscosity,289.27420457628864,2.1393062371780966e-99
std_down_z,273.28156321598794,4.5117415641846655e-96
mean_up_z,271.3229377017047,1.1760217572453649e-95
max_down_z,241.68548053299597,4.216788265457242e-89
mean_slope_down_z,160.9943414780875,3.220969882680418e-68
SPM,144.7483361134778,2.527373955202614e-63
PPRL_z,139.9647847753775,7.916193490003395e-62
std_load_z,133.62310067421407,8.365507240958639e-60
load_range_z,113.88430640880608,3.5048747010701158e-53
position_of_min_load,106.78793451969959,1.1360400822646923e-50
load_range_raw_lbf,87.76908843107387,1.4729175798823183e-43
card_area_shape_norm,83.34323896763445,8.144212743236459e-42
MPRL_raw_lbf,71.05735545451795,8.72464425470546e-37
std_up_z,60.34776190220009,3.7726670313508696e-32
fluid_level,58.04898527425694,4.025244396756847e-31
temperature,46.25793536326161,1.1959699487344694e-25
min_up_z,33.745448804282965,1.9248732308293968e-19
position_of_peak_load,32.054816738416875,1.4365013407144229e-18
PPRL_raw_lbf,26.355465847742334,1.4584325459452674e-15
mean_slope_up_z,24.07049282962852,2.4984796975352144e-14
std_load_raw_lbf,19.71824542702897,6.220210066744547e-12
up_down_load_ratio_raw,17.9958890413452,5.7395221138695704e-11
max_abs_slope_up_z,15.186425957334173,2.256406337615196e-09
mean_load_raw_lbf,8.046269502556292,3.2363224694347345e-05
card_work_raw_lbf_in,3.1372972062083173,0.02540052663024115
stroke_length,1.0866890592952727,0.35454737953155246
production_rate,0.30939373349731664,0.8186021922373401
pump_depth,0.17506334644526333,0.9132536135078899
