feature,perm_importance_mean,perm_importance_std
mean_load_z,0.22100401866735808,0.024392506266839017
max_abs_slope_down_z,0.08156922478610322,0.0317169764850727
std_load_z,0.07438423645320197,0.01684268078549631
load_range_z,0.04822724915737624,0.013481446762647044
PPRL_z,0.04522621208192901,0.0252974261879313
position_of_min_load,0.03275862068965517,0.022536945812807883
viscosity,0.03165996888773661,0.015485010821199418
position_of_peak_load,0.025123152709359588,0.013055929802826452
max_down_z,0.017105263157894735,0.010276644310403475
SPM,0.016379310344827626,0.02404349678558971
fluid_level,0.014285714285714235,0.0071428571428571175
card_area_shape_norm,0.01256157635467976,0.007113068511425418
MPRL_z,0.012499999999999956,0.008183170883849686
std_down_z,0.011699507389162533,0.009007844112270796
min_up_z,0.010714285714285676,0.008748177652797035
mean_load_raw_lbf,0.0071428571428571175,0.008748177652797035
max_abs_slope_up_z,0.0054187192118226426,0.00906992740863148
max_up_z,0.005357142857142838,0.008183170883849686
MPRL_raw_lbf,0.0035714285714285587,0.0071428571428571175
mean_down_z,0.0,0.0
mean_up_z,0.0,0.0
card_work_raw_lbf_in,0.0,0.0
load_range_raw_lbf,0.0,0.0
PPRL_raw_lbf,0.0,0.0
std_load_raw_lbf,0.0,0.0
std_up_z,0.0,0.0
temperature,0.0,0.0
mean_slope_down_z,0.0,0.0
min_down_z,0.0,0.0
up_down_load_ratio_raw,0.0,0.0
production_rate,0.0,0.0
pump_depth,0.0,0.0
stroke_length,0.0,0.0
mean_slope_up_z,-0.003571428571428592,0.010714285714285721
